,Type,Duration,Calories,@totalEnergyBurnedUnit,Date,WorkoutRoute
198,Walk,30.53764118353526,126.8070593399493,Cal,2021-01-12 19:15:53,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-12 19:15:54 -0400'), ('@startDate', '2021-01-12 18:45:18 -0400'), ('@endDate', '2021-01-12 19:15:50 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '3571404E-99D0-4392-B718-386ACAB6993E')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-12_6.15pm.gpx')]))])"
199,Walk,15.47299398183823,44.25379024651271,Cal,2021-01-12 19:49:14,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-12 19:49:15 -0400'), ('@startDate', '2021-01-12 19:33:45 -0400'), ('@endDate', '2021-01-12 19:39:35 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '40CC8F56-7B35-4880-B557-26B860E53EC9')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-12_6.39pm.gpx')]))])"
200,Walk,22.07399845123291,148.5293454492408,Cal,2021-01-13 11:19:42,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-13 11:19:43 -0400'), ('@startDate', '2021-01-13 11:07:41 -0400'), ('@endDate', '2021-01-13 11:19:40 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '16A4AF73-E55B-47BD-B37D-2310BDB299B9')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-13_10.19am.gpx')]))])"
201,Walk,8.924401499827702,58.15412764435901,Cal,2021-01-13 11:29:53,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-13 11:29:54 -0400'), ('@startDate', '2021-01-13 11:21:02 -0400'), ('@endDate', '2021-01-13 11:27:41 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '37EB028A-9D99-45BF-912E-68E6B5328941')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-13_10.27am.gpx')]))])"
202,Walk,20.53443606495857,112.4721711327454,Cal,2021-01-13 11:57:13,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-13 11:57:14 -0400'), ('@startDate', '2021-01-13 11:46:46 -0400'), ('@endDate', '2021-01-13 11:57:12 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '8E1C333F-2DE9-46CA-BD23-623ED850C530')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-13_10.57am.gpx')]))])"
203,Run,18.07591016689936,239.92427998303,Cal,2021-01-14 12:59:56,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-14 12:59:57 -0400'), ('@startDate', '2021-01-14 12:41:50 -0400'), ('@endDate', '2021-01-14 12:59:54 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '686A57D8-3FF9-4776-8E5A-4C482B9342C5')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-14_11.59am.gpx')]))])"
204,Walk,39.9333202501138,232.3449303872364,Cal,2021-01-14 17:48:19,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-14 17:48:21 -0400'), ('@startDate', '2021-01-14 17:08:20 -0400'), ('@endDate', '2021-01-14 17:48:17 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '6D2DB8AC-82F8-4B30-81AB-59F51500F198')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-14_4.48pm.gpx')]))])"
205,Strength,37.01121073365211,271.8972341969273,Cal,2021-01-14 21:09:24,
206,Walk,14.55688225030899,111.802,Cal,2021-01-15 11:52:40,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-15 11:52:40 -0400'), ('@startDate', '2021-01-15 11:48:12 -0400'), ('@endDate', '2021-01-15 11:51:06 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '4B96CFFD-BCAB-463D-A1E7-C04ADD365106')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-15_10.51am.gpx')]))])"
207,Walk,12.87396650115649,99.24952115067168,Cal,2021-01-15 12:59:15,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-15 12:59:16 -0400'), ('@startDate', '2021-01-15 12:46:26 -0400'), ('@endDate', '2021-01-15 12:55:16 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '76D24344-1CBE-49BA-B23A-3EE3E258D071')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-15_11.55am.gpx')]))])"
